Date,Compound - Active loans ($)
2024-12-06,1016114843.191495
2024-12-07,1008021984.956776
2024-12-08,1031000937.44294
2024-12-09,1012025316.833705
2024-12-10,988502788.975206
2024-12-11,1022502673.756427
2024-12-12,1036448869.669959
2024-12-13,1046062862.893424
2024-12-14,1042966287.016475
2024-12-15,1064558720.263413
2024-12-16,1066337423.890071
2024-12-17,1056481283.308436
2024-12-18,1034052917.566996
2024-12-19,1015150031.192259
2024-12-20,1022794714.585556
2024-12-21,1015390182.363184
2024-12-22,1021710842.119583
2024-12-23,1032390944.520328
2024-12-24,1039696951.271462
2024-12-25,1044260846.475013
2024-12-26,1036620565.178959
2024-12-27,1027476458.257364
2024-12-28,1031545576.072361
2024-12-29,1034998187.081498
2024-12-30,1033405317.140074
2024-12-31,1033110265.35699
2025-01-01,1035591581.912714
2025-01-02,1033159555.297272
2025-01-03,1057422010.230234
2025-01-04,1067005796.606486
2025-01-05,1068086919.284141
2025-01-06,1073598738.921395
2025-01-07,1047923313.046288
2025-01-08,1049840392.283818
2025-01-09,1043190673.282812
2025-01-10,1045271151.15819
2025-01-11,1049153570.634183
2025-01-12,1046178732.064923
2025-01-13,1017798423.724123
2025-01-14,1048837687.768317
2025-01-15,1067104685.04068
2025-01-16,1066715521.920073
2025-01-17,1100290928.457316
2025-01-18,1102354746.150986
2025-01-19,1092074095.383807
2025-01-20,1100546453.286598
2025-01-21,1115370089.303181
2025-01-22,1105659883.0399
2025-01-23,1119136774.506261
2025-01-24,1110013914.312055
2025-01-25,1110068275.008229
2025-01-26,1108078646.509728
2025-01-27,1092844679.438393
2025-01-28,1090800067.003246
2025-01-29,1112958001.736608
2025-01-30,1124512231.724418
2025-01-31,1131281315.679999
2025-02-01,1115910502.049184
2025-02-02,1100053800.702296
2025-02-03,1031182525.989733
2025-02-04,1025390046.105199
2025-02-05,1029522667.673527
2025-02-06,1029224062.813536
2025-02-07,1029240870.864271
2025-02-08,1029814794.769354
2025-02-09,1032397267.464449
2025-02-10,1037459805.069584
2025-02-11,1058364910.542501
2025-02-12,1080092552.523906
2025-02-13,1092200046.74518
2025-02-14,1099408871.997892
2025-02-15,1087123627.783812
2025-02-16,1080787032.135186
2025-02-17,1084470352.124478
2025-02-18,1096747174.717821
2025-02-19,1086026114.463428
2025-02-20,1088757155.783422
2025-02-21,1074252746.854208
2025-02-22,1089055015.490551
2025-02-23,1090715238.184937
2025-02-24,1075016699.858906
2025-02-25,1042332806.818992
2025-02-26,1029801066.180694
2025-02-27,1020303953.38831
2025-02-28,968897411.587929
2025-03-01,959815761.479257
2025-03-02,994287986.166952
2025-03-03,971072247.901398
2025-03-04,955004860.391853
2025-03-05,964378008.422619
